"Statistic Label","Month","Residency","Expenditure Type","UNIT","VALUE"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Accommodation","Euro Million","124.7"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","Day-to-Day Expenditure","Euro Million","97.2"
"Expenditure of Overnight Foreign Visitors","2023 July","USA & Canada","All Travel Expenditure","Euro Million","380.2"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Fare","Euro Million","20.9"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Prepayments","Euro Million","2"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Accommodation","Euro Million","15.3"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","Day-to-Day Expenditure","Euro Million","32.9"
"Expenditure of Overnight Foreign Visitors","2023 July","Other Residencies","All Travel Expenditure","Euro Million","71.1"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Fare","Euro Million","254.1"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Prepayments","Euro Million","27.6"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Accommodation","Euro Million","272"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","Day-to-Day Expenditure","Euro Million","321.7"
"Expenditure of Overnight Foreign Visitors","2023 July","All Residencies","All Travel Expenditure","Euro Million","875.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Fare","Euro Million","44.2"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","4.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","44.3"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","83.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","176.6"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Fare","Euro Million","60.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Prepayments","Euro Million","15.9"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Accommodation","Euro Million","131.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","Day-to-Day Expenditure","Euro Million","155.9"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Europe (3)","All Travel Expenditure","Euro Million","363.9"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Fare","Euro Million","138.2"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Prepayments","Euro Million","19.5"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Accommodation","Euro Million","126.1"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","Day-to-Day Expenditure","Euro Million","91.7"
"Expenditure of Overnight Foreign Visitors","2023 August","USA & Canada","All Travel Expenditure","Euro Million","375.6"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Fare","Euro Million","19.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Prepayments","Euro Million","5.4"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Accommodation","Euro Million","13.7"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","Day-to-Day Expenditure","Euro Million","41.2"
"Expenditure of Overnight Foreign Visitors","2023 August","Other Residencies","All Travel Expenditure","Euro Million","80"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Fare","Euro Million","262.9"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Prepayments","Euro Million","45.6"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Accommodation","Euro Million","315.5"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","Day-to-Day Expenditure","Euro Million","372.2"
"Expenditure of Overnight Foreign Visitors","2023 August","All Residencies","All Travel Expenditure","Euro Million","996.1"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Fare","Euro Million","35.7"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Prepayments","Euro Million","4.6"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Accommodation","Euro Million","50.5"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Day-to-Day Expenditure","Euro Million","68.7"
"Expenditure of Overnight Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","All Travel Expenditure","Euro Million","159.5"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Fare","Euro Million","39.1"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Prepayments","Euro Million","6.8"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Accommodation","Euro Million","88.2"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","Day-to-Day Expenditure","Euro Million","88.3"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Europe (3)","All Travel Expenditure","Euro Million","222.5"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Fare","Euro Million","103"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Prepayments","Euro Million","18.7"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Accommodation","Euro Million","118.4"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","Day-to-Day Expenditure","Euro Million","88.8"
"Expenditure of Overnight Foreign Visitors","2023 September","USA & Canada","All Travel Expenditure","Euro Million","328.9"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Fare","Euro Million","22.2"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Prepayments","Euro Million","3.5"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Accommodation","Euro Million","25.1"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","Day-to-Day Expenditure","Euro Million","38.3"
"Expenditure of Overnight Foreign Visitors","2023 September","Other Residencies","All Travel Expenditure","Euro Million","89.2"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Fare","Euro Million","200.1"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Prepayments","Euro Million","33.6"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Accommodation","Euro Million","282.2"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","Day-to-Day Expenditure","Euro Million","284.2"
"Expenditure of Overnight Foreign Visitors","2023 September","All Residencies","All Travel Expenditure","Euro Million","800.1"
"Expenditure of Overnight Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Fare","Euro Million","28"
